feature,importance
MonthlyIncome,0.07008276096692855
TotalWorkingYears,0.060175604203874924
Age,0.059611023050977215
DailyRate,0.05272652908357261
HourlyRate,0.045673257394146
MonthlyRate,0.04280874139391646
DistanceFromHome,0.0427840047821251
YearsAtCompany,0.04201462264815119
YearsWithCurrManager,0.0353421407707361
PercentSalaryHike,0.03366104524597991
NumCompaniesWorked,0.03313807987623388
EnvironmentSatisfaction,0.027347472222274485
OverTime_Yes,0.026503361760001124
WorkLifeBalance,0.025938008163543563
OverTime_No,0.025878537734521957
YearsInCurrentRole,0.025501276297250207
StockOptionLevel,0.0237095903496377
TrainingTimesLastYear,0.023700934392177447
JobInvolvement,0.02368640673552386
JobSatisfaction,0.022908558650719828
YearsSinceLastPromotion,0.021563752184488666
RelationshipSatisfaction,0.021357731281273128
JobLevel,0.02034357018242079
Education,0.01976092953406939
MaritalStatus_Single,0.0156596573124689
